model,parameters,f1,precision,recall
Random Forest,"{'n_estimators': 150, 'criterion': 'entropy', 'max_features': 'sqrt'}",0.8985594920051365,0.9050705232200665,0.9252271139063591
Random Forest,"{'n_estimators': 150, 'criterion': 'entropy', 'max_features': 'auto'}",0.8985594920051365,0.9050705232200665,0.9252271139063591
Random Forest,"{'n_estimators': 150, 'criterion': 'entropy', 'max_features': 'log2'}",0.8930295821502156,0.8965337671157495,0.923130677847659
Random Forest,"{'n_estimators': 170, 'criterion': 'gini', 'max_features': 'sqrt'}",0.9027978387631733,0.9060990338164251,0.9259259259259259
Random Forest,"{'n_estimators': 170, 'criterion': 'gini', 'max_features': 'auto'}",0.9027978387631733,0.9060990338164251,0.9259259259259259
Random Forest,"{'n_estimators': 170, 'criterion': 'gini', 'max_features': 'log2'}",0.8930295821502156,0.8965337671157495,0.923130677847659
Random Forest,"{'n_estimators': 170, 'criterion': 'entropy', 'max_features': 'sqrt'}",0.8985594920051365,0.9050705232200665,0.9252271139063591
Random Forest,"{'n_estimators': 170, 'criterion': 'entropy', 'max_features': 'auto'}",0.8985594920051365,0.9050705232200665,0.9252271139063591
Random Forest,"{'n_estimators': 170, 'criterion': 'entropy', 'max_features': 'log2'}",0.8930295821502156,0.8965337671157495,0.923130677847659
Random Forest,"{'n_estimators': 190, 'criterion': 'gini', 'max_features': 'sqrt'}",0.9041520504251682,0.9079741677953448,0.9266247379454927
Random Forest,"{'n_estimators': 190, 'criterion': 'gini', 'max_features': 'auto'}",0.9041520504251682,0.9079741677953448,0.9266247379454927
Random Forest,"{'n_estimators': 190, 'criterion': 'gini', 'max_features': 'log2'}",0.8930295821502156,0.8965337671157495,0.923130677847659
Random Forest,"{'n_estimators': 190, 'criterion': 'entropy', 'max_features': 'sqrt'}",0.9000002540030887,0.9073873773932015,0.9259259259259259
Random Forest,"{'n_estimators': 190, 'criterion': 'entropy', 'max_features': 'auto'}",0.9000002540030887,0.9073873773932015,0.9259259259259259
Random Forest,"{'n_estimators': 190, 'criterion': 'entropy', 'max_features': 'log2'}",0.8930295821502156,0.8965337671157495,0.923130677847659
